age,gross_monthly_income,years_continuous_experience,current_debt_to_income_ratio,number_of_dependents,home_ownership,default_status
43,3100,24,0.238,1,0,0
36,3600,17,0.215,0,0,0
45,3400,29,0.117,2,1,0
56,5700,37,0.118,2,1,0
35,8600,12,0.269,1,1,0
35,2800,19,0.137,0,0,0
56,9200,31,0.318,1,0,0
47,3000,25,0.481,3,0,0
32,2600,14,0.212,0,0,0
44,7800,24,0.247,4,1,0
32,6700,5,0.074,2,0,0
32,6800,9,0.104,1,1,0
40,2100,19,0.087,0,0,0
20,2800,0,0.286,1,1,1
20,6000,0,0.355,0,0,1
31,4300,13,0.138,2,0,0
25,2100,9,0.439,1,0,0
41,5500,12,0.467,0,0,0
27,2600,6,0.234,2,0,1
21,10700,0,0.256,2,1,0
55,13200,35,0.213,1,1,0
35,6300,17,0.259,1,0,0
38,10000,18,0.035,0,0,0
20,4000,4,0.227,1,0,1
31,5900,1,0.017,1,0,1
39,11300,23,0.376,0,0,1
24,4600,8,0.403,0,0,1
42,4000,23,0.21,3,0,0
30,1400,4,0.527,2,0,1
34,4100,13,0.577,6,1,1
30,7000,14,0.19,1,0,0
60,9100,34,0.354,4,1,0
37,5800,14,0.479,1,1,0
25,2700,2,0.171,0,0,1
47,1400,24,0.08,2,0,0
23,2700,0,0.286,0,0,0
40,3400,11,0.296,1,1,0
20,3100,2,0.295,1,0,0
22,5300,0,0.174,1,0,1
40,14700,18,0.172,1,0,0
46,5100,24,0.048,1,0,0
40,4200,24,0.262,2,1,0
36,3700,16,0.519,0,0,0
34,4700,17,0.347,1,0,0
20,2200,0,0.07,0,0,0
29,4100,4,0.149,2,1,0
32,5800,16,0.169,0,1,0
50,5600,30,0.412,1,0,0
42,5800,17,0.588,0,1,0
20,4700,0,0.103,1,0,0
41,1600,18,0.343,1,1,0
33,6000,11,0.36,3,0,1
29,2600,7,0.046,2,1,0
45,2500,26,0.146,1,0,0
50,2700,34,0.489,1,1,0
49,6600,33,0.028,2,1,0
27,3400,4,0.099,0,0,0
